	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
10	-0.18596776	0.027720585	-0.021275183	-0.12295203	0.002633081	-0.07823303	-0.024805512	-0.012443287	0.11077264	0.10944785	0.0264195	0.08815673	0.08998832	-0.024149101	-0.027585713	-0.13775194	0.04416268	-0.12691772	-0.06199973	0.020209784	-0.012642424	0.09694596	0.016714845	-0.08497157	-0.030342426	0.09306259	0.109224066	-0.072829634	0.01520047	-0.040139455	-0.025005672	0.15720387	0.10114597	-0.018475436	-0.0731253	0.018937454	-0.06381643	0.14104289	0.09560701	0.0067433575	0.09594791	-0.047299042	0.09292087	0.20968515	0.043001495	0.007597277	0.0036749197	0.051759236	0.006376205	-0.039948493	0.077312976	0.09780425	0.022370566	-0.0019034273	0.13496844	-0.04705128	-0.009917222	-0.071934216	-0.010953369	0.017318528	-0.06003259	-0.11517136	-0.16124861	-0.117229916
11	-0.18787466	0.028707732	-0.018879507	-0.13369438	-0.00064761983	-0.07604155	-0.022476422	-0.006004383	0.10905202	0.10908808	0.02347302	0.08352651	0.091945305	-0.027468918	-0.02670003	-0.13849844	0.044336896	-0.12556943	-0.061366193	0.018647503	-0.010968196	0.09432137	0.013643894	-0.08241172	-0.029515749	0.089268014	0.10711384	-0.07736422	0.018742096	-0.037720263	-0.01879945	0.15637356	0.09784899	-0.020314047	-0.06822197	0.022128291	-0.061659746	0.14132589	0.09753594	0.003518112	0.097445354	-0.0475585	0.089303136	0.20916344	0.049766988	0.0071616964	0.00435422	0.057756692	0.0054496787	-0.03661964	0.07683261	0.097328566	0.026909547	-0.0027694313	0.13331586	-0.043399498	-0.01602717	-0.073558494	-0.011618672	0.013280251	-0.061852485	-0.11318287	-0.1592499	-0.11665649
12	-0.12258196	-0.015177333	0.016820626	-0.07543042	-0.037255008	-0.100574866	-0.01908014	0.007838922	0.09449266	0.09257551	7.4364245e-05	0.135988	0.13345723	0.028146885	-0.09901669	-0.07608083	-0.00023165159	-0.052857388	-0.025655001	0.009365519	0.0007051006	0.017519603	0.008928754	-0.1170039	-0.01897742	0.10633466	0.083641894	-0.11522679	-0.010249691	0.008701497	-0.038455345	0.12356104	0.12528358	-0.03290375	-0.059778385	0.1084575	-0.020763917	0.07122135	0.036602776	0.04060168	0.10218431	0.049693093	0.11168665	0.12953584	0.039769955	0.034739114	0.0137239825	0.0626955	-0.036502033	-0.000476392	0.057990894	0.100268416	0.07152524	0.013644494	0.12367271	-0.008312618	-0.060258217	-0.06122451	0.014210597	-0.037569843	-0.047494657	-0.042559378	-0.054762643	-0.053992894
13	-0.1370478	-0.028896682	0.03438405	-0.10730983	0.022259274	-0.05269386	-0.034851126	0.009808108	0.099710286	0.12337373	0.021683814	0.079187706	0.091529526	0.012234019	-0.09675164	-0.11587772	0.085214674	-0.08690812	-0.04107313	0.009788004	0.0058871503	0.09975903	-0.006371428	-0.055347066	-0.0012984462	0.06257161	0.074634016	-0.010544182	0.0142712835	0.0009379508	-0.075377926	0.061476	0.09155217	-0.026257519	-0.039281458	0.04975789	-0.050805505	0.10961172	0.019122358	0.023617689	0.121813625	-0.0040880926	0.028053034	0.10475619	0.068295136	0.011442015	-0.0034002606	0.018530753	-0.014188452	-0.069553204	0.003878761	0.0987436	0.016609116	0.021333583	0.09000389	-0.055965558	-0.01953101	-0.07141083	0.0129225515	0.0052430015	-0.058701016	-0.019883003	-0.18648796	-0.039492182
14	-0.08432065	-0.01776842	-0.017769251	-0.112620324	-0.056429356	-0.085717216	-0.07190656	0.02196388	0.0604846	0.055948135	-0.0028465353	0.06942284	0.1500136	0.014900865	-0.036597013	-0.10265985	0.024941564	-0.123314925	-0.08866157	-0.03536472	0.018009052	0.04627695	0.018026132	-0.053649466	-0.030744435	0.0016396977	0.11056314	-0.09392157	0.03248343	-0.025378425	0.0060868664	0.085068285	0.16846175	-0.04884	-0.06312002	0.12649003	-0.079872794	0.100965396	0.08222162	0.04056173	0.122999206	-0.0050193686	0.15263289	0.05759375	0.030235419	0.013483293	0.05005066	0.009741679	0.009430686	-0.062080957	-0.015465807	0.06027463	0.06271777	0.09567029	0.06937338	0.023394218	-0.05096303	-0.075340286	0.02369687	0.0017252676	-0.05576028	-0.075527236	-0.11324188	-0.07184872
15	-0.08402101	-0.017427452	-0.01872172	-0.11236139	-0.055180524	-0.083236486	-0.07345476	0.018158056	0.060181625	0.05640151	-0.0018300563	0.06920651	0.14278531	0.017678807	-0.036819495	-0.102304235	0.025153842	-0.12280426	-0.091267474	-0.036548495	0.018371575	0.04633439	0.01678293	-0.050955076	-0.032087885	0.004113365	0.1099322	-0.08310449	0.033667095	-0.024555605	0.004664076	0.08411409	0.1705668	-0.050742563	-0.06448236	0.124689	-0.08081597	0.100616075	0.0808718	0.043377344	0.120964035	-0.004283143	0.15300457	0.057358123	0.02933543	0.012176527	0.05246543	0.009193726	0.011026421	-0.0643741	-0.015490349	0.06068444	0.059968457	0.09632995	0.06801351	0.024507625	-0.047239356	-0.07445668	0.02437471	0.0061382	-0.05659774	-0.07747267	-0.11002201	-0.0715397
16	-0.16444008	-0.0052872803	-0.00039043208	-0.094705775	-0.017179228	-0.080627784	-0.02245106	0.009691566	0.09981179	0.08364874	0.029062726	0.086806595	0.08766252	0.00084420945	-0.03486963	-0.1278152	0.03576214	-0.09451525	-0.069042616	0.014656699	0.00045456504	0.07764332	0.016314726	-0.07447612	-0.035973188	0.08153312	0.09835877	-0.06836214	0.004214287	-0.017596535	-0.019879185	0.11916436	0.101264134	-0.028951563	-0.06604939	0.04323323	-0.03508786	0.11434936	0.075466424	0.01915312	0.08552429	-0.03573308	0.09216972	0.14767471	0.03968419	-0.007744745	-0.0006249333	0.037130024	-0.0076492447	-0.033506095	0.050911743	0.07527843	0.023112426	0.011428393	0.11710589	-0.036095142	-0.002275871	-0.076462775	-0.00010426156	-0.001511829	-0.048520945	-0.08829786	-0.13912484	-0.09098332
17	-0.16787018	-0.01107877	-0.0022501475	-0.09033909	-0.0015559774	-0.087562084	-0.020320784	0.0012597721	0.10082793	0.08942178	0.016568728	0.077522375	0.08371653	0.00648915	-0.045447916	-0.122875705	0.046443794	-0.08456928	-0.07000324	0.027950818	-0.007051614	0.106984496	-0.0052679707	-0.060865104	-0.028362388	0.0845166	0.09031512	-0.07486681	-0.002863787	-0.01755099	-0.027242932	0.12199542	0.106454745	-0.03897745	-0.05875794	0.034027558	-0.0289966	0.10605158	0.07222178	0.011710739	0.082167774	-0.04479264	0.082363725	0.14604571	0.035023488	0.0038215239	0.005790636	0.029116318	-0.0018486269	-0.03568395	0.044036433	0.076686375	0.028519968	0.007535585	0.103503324	-0.04535646	0.0021920744	-0.060157716	0.008623282	0.015515654	-0.049480423	-0.093947515	-0.15015525	-0.07673901
18	-0.16676156	0.0008847164	-0.0024221006	-0.09505923	-0.013862962	-0.076452434	-0.027710035	0.0004792735	0.09988992	0.08613578	0.023049966	0.08303322	0.08973181	0.003883385	-0.038259037	-0.124872655	0.039054286	-0.09480049	-0.06422867	0.017717166	0.008044239	0.08260876	0.013825326	-0.069433905	-0.027487574	0.08095896	0.095993616	-0.070577085	0.0056952313	-0.01474075	-0.016680447	0.12756257	0.10168818	-0.026299985	-0.06447023	0.04363409	-0.0414686	0.12080254	0.07777771	0.013764522	0.08319266	-0.039420087	0.08684068	0.15470345	0.04042704	0.00021404587	0.0031371377	0.038659796	-0.0054568667	-0.034022633	0.046970837	0.08060457	0.021536265	0.0022509722	0.112774454	-0.038209178	-0.007876914	-0.07053085	0.0013987562	0.0050977767	-0.049996607	-0.08275803	-0.14351052	-0.08547513
19	-0.15236193	0.013069473	-0.01110695	-0.0936802	0.013148617	-0.07867043	-0.017496642	-0.015864257	0.09390605	0.100738145	0.026359802	0.071624994	0.061882317	0.0029598102	-0.03504909	-0.127951	0.029692274	-0.10355944	-0.06998215	0.016180936	0.01131621	0.08846211	0.009754946	-0.06844013	-0.022180274	0.085624725	0.086555876	-0.03125135	0.007325546	-0.023036733	-0.017687239	0.12264249	0.08952504	-0.022089092	-0.06316522	0.009671139	-0.041035786	0.11864479	0.05107534	0.028210606	0.07756105	-0.03520137	0.0750936	0.155205	0.02853465	-0.00719087	0.0006024027	0.03960896	0.016606178	-0.042596705	0.046834655	0.07109408	0.0049665347	-0.0023338161	0.09640829	-0.053105496	0.0068895826	-0.061763555	0.010697839	0.028047385	-0.049030546	-0.074939	-0.13589326	-0.071768306
